LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESE SIMP.
"STR_SMP_00001","   — следующий, ","   - next, ","   - next, ","   - next, ","   — следующий, ","   - next, ","   - next, ","   - next, ","   - next, ","   - next, ","   - next, ","   - next, ","   - next, ","   - next, "
"STR_SMP_00002","   (пройден)","   (passed)","   (passed)","   (passed)","   (пройден)","   (passed)","   (passed)","   (passed)","   (passed)","   (passed)","   (passed)","   (passed)","   (passed)","   (passed)"
"STR_SMP_00003","   « ТЕКУЩИЙ »","   ""CURRENT""","   ""CURRENT""","   ""CURRENT""","   « ТЕКУЩИЙ »","   ""CURRENT""","   ""CURRENT""","   ""CURRENT""","   ""CURRENT""","   ""CURRENT""","   ""CURRENT""","   ""CURRENT""","   ""CURRENT""","   ""CURRENT"""
"STR_SMP_00004","   ·   Лоты рынка: ","   · Market Lots: ","   · Market Lots: ","   · Market Lots: ","   ·   Лоты рынка: ","   · Market Lots: ","   · Market Lots: ","   · Market Lots: ","   · Market Lots: ","   · Market Lots: ","   · Market Lots: ","   · Market Lots: ","   · Market Lots: ","   · Market Lots: "
"STR_SMP_00005","   ·   Склад: ","   Storage: ","   Storage: ","   Storage: ","   ·   Склад: ","   Storage: ","   Storage: ","   Storage: ","   Storage: ","   Storage: ","   Storage: ","   Storage: ","   Storage: ","   Storage: "
"STR_SMP_00006"," - до конца сезона: "," - until the end of the season: "," - until the end of the season: "," - until the end of the season: "," - до конца сезона: "," - until the end of the season: "," - until the end of the season: "," - until the end of the season: "," - until the end of the season: "," - until the end of the season: "," - until the end of the season: "," - until the end of the season: "," - until the end of the season: "," - until the end of the season: "
"STR_SMP_00007"," - лотов пока нет"," - no lots yet"," - no lots yet"," - no lots yet"," - лотов пока нет"," - no lots yet"," - no lots yet"," - no lots yet"," - no lots yet"," - no lots yet"," - no lots yet"," - no lots yet"," - no lots yet"," - no lots yet"
"STR_SMP_00008"," - ничего не найдено"," - nothing found"," - nothing found"," - nothing found"," - ничего не найдено"," - nothing found"," - nothing found"," - nothing found"," - nothing found"," - nothing found"," - nothing found"," - nothing found"," - nothing found"," - nothing found"
"STR_SMP_00009"," - новый ранг: "," - new rank: "," - new rank: "," - new rank: "," - новый ранг: "," - new rank: "," - new rank: "," - new rank: "," - new rank: "," - new rank: "," - new rank: "," - new rank: "," - new rank: "," - new rank: "
"STR_SMP_00010"," - обновление через "," - update via "," - update via "," - update via "," - обновление через "," - update via "," - update via "," - update via "," - update via "," - update via "," - update via "," - update via "," - update via "," - update via "
"STR_SMP_00011"," - пусто"," - empty"," - empty"," - empty"," - пусто"," - empty"," - empty"," - empty"," - empty"," - empty"," - empty"," - empty"," - empty"," - empty"
"STR_SMP_00012"," — склад "," - storage "," - storage "," - storage "," — склад "," - storage "," - storage "," - storage "," - storage "," - storage "," - storage "," - storage "," - storage "," - storage "
"STR_SMP_00013"," - товаров пока нет"," - no items yet"," - no items yet"," - no items yet"," - товаров пока нет"," - no items yet"," - no items yet"," - no items yet"," - no items yet"," - no items yet"," - no items yet"," - no items yet"," - no items yet"," - no items yet"
"STR_SMP_00014"," (баланс: "," (balance: "," (balance: "," (balance: "," (баланс: "," (balance: "," (balance: "," (balance: "," (balance: "," (balance: "," (balance: "," (balance: "," (balance: "," (balance: "
"STR_SMP_00015"," (валюты не хватило или не разменялась). Баланс казны: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (валюты не хватило или не разменялась). Баланс казны: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (there was not enough currency or it was not exchanged). Treasury balance: "," (there was not enough currency or it was not exchanged). Treasury balance: "
"STR_SMP_00016"," (вы)"," (you)"," (you)"," (you)"," (вы)"," (you)"," (you)"," (you)"," (you)"," (you)"," (you)"," (you)"," (you)"," (you)"
"STR_SMP_00017","- (выстрелов: ","- (shots: ","- (shots: ","- (shots: ","- (выстрелов: ","- (shots: ","- (shots: ","- (shots: ","- (shots: ","- (shots: ","- (shots: ","- (shots: ","- (shots: ","- (shots: "
"STR_SMP_00018"," (макс.)"," (max.)"," (max.)"," (max.)"," (макс.)"," (max.)"," (max.)"," (max.)"," (max.)"," (max.)"," (max.)"," (max.)"," (max.)"," (max.)"
"STR_SMP_00019"," (онлайн)"," (online)"," (online)"," (online)"," (онлайн)"," (online)"," (online)"," (online)"," (online)"," (online)"," (online)"," (online)"," (online)"," (online)"
