LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESE SIMP.
"STR_SMD_MENU_TITLE","Данж-менеджер","Dungeon Manager","Dungeon Manager","Dungeon Manager","Данж-менеджер","Dungeon Manager","Dungeon Manager","Dungeon Manager","Dungeon Manager","Dungeon Manager","Dungeon Manager","Dungeon Manager","Dungeon Manager","Dungeon Manager"
"STR_SMD_TAB_DUNGEONS","Данжи","Dungeons","Dungeons","Dungeons","Данжи","Dungeons","Dungeons","Dungeons","Dungeons","Dungeons","Dungeons","Dungeons","Dungeons","Dungeons"
"STR_SMD_TAB_BOOKINGS","Мои брони","My Bookings","My Bookings","My Bookings","Мои брони","My Bookings","My Bookings","My Bookings","My Bookings","My Bookings","My Bookings","My Bookings","My Bookings","My Bookings"
"STR_SMD_TAB_INVITES","Приглашения","Invites","Invites","Invites","Приглашения","Invites","Invites","Invites","Invites","Invites","Invites","Invites","Invites","Invites"
"STR_SMD_TAB_GROUP","Команда","Group","Group","Group","Команда","Group","Group","Group","Group","Group","Group","Group","Group","Group"
"STR_SMD_TAB_FINDER","Поиск спутников","Group Finder","Group Finder","Group Finder","Поиск спутников","Group Finder","Group Finder","Group Finder","Group Finder","Group Finder","Group Finder","Group Finder","Group Finder","Group Finder"
"STR_SMD_TAB_ADMIN","Админ","Admin","Admin","Admin","Админ","Admin","Admin","Admin","Admin","Admin","Admin","Admin","Admin","Admin"
"STR_SMD_COL_NAME","Название","Name","Name","Name","Название","Name","Name","Name","Name","Name","Name","Name","Name","Name"
"STR_SMD_COL_DIFF","Сложность","Difficulty","Difficulty","Difficulty","Сложность","Difficulty","Difficulty","Difficulty","Difficulty","Difficulty","Difficulty","Difficulty","Difficulty","Difficulty"
"STR_SMD_COL_MODE","Режим","Mode","Mode","Mode","Режим","Mode","Mode","Mode","Mode","Mode","Mode","Mode","Mode","Mode"
"STR_SMD_COL_PLAYERS","Игроки","Players","Players","Players","Игроки","Players","Players","Players","Players","Players","Players","Players","Players","Players"
"STR_SMD_COL_STATUS","Статус","Status","Status","Status","Статус","Status","Status","Status","Status","Status","Status","Status","Status","Status"
"STR_SMD_COL_TIME","Время","Time","Time","Time","Время","Time","Time","Time","Time","Time","Time","Time","Time","Time"
"STR_SMD_COL_LEADER","Лидер","Leader","Leader","Leader","Лидер","Leader","Leader","Leader","Leader","Leader","Leader","Leader","Leader","Leader"
"STR_SMD_MODE_SOLO","Соло","Solo","Solo","Solo","Соло","Solo","Solo","Solo","Solo","Solo","Solo","Solo","Solo","Solo"
"STR_SMD_MODE_GROUP","Группа (приглашения)","Group (invite)","Group (invite)","Group (invite)","Группа (приглашения)","Group (invite)","Group (invite)","Group (invite)","Group (invite)","Group (invite)","Group (invite)","Group (invite)","Group (invite)","Group (invite)"
"STR_SMD_MODE_FINDER","Поиск спутников","Group Finder","Group Finder","Group Finder","Поиск спутников","Group Finder","Group Finder","Group Finder","Group Finder","Group Finder","Group Finder","Group Finder","Group Finder","Group Finder"
"STR_SMD_BTN_REGISTER","Записаться","Register","Register","Register","Записаться","Register","Register","Register","Register","Register","Register","Register","Register","Register"
"STR_SMD_BTN_CANCEL","Отменить бронь","Cancel Booking","Cancel Booking","Cancel Booking","Отменить бронь","Cancel Booking","Cancel Booking","Cancel Booking","Cancel Booking","Cancel Booking","Cancel Booking","Cancel Booking","Cancel Booking","Cancel Booking"
"STR_SMD_BTN_LEAVE","Покинуть группу","Leave Group","Leave Group","Leave Group","Покинуть группу","Leave Group","Leave Group","Leave Group","Leave Group","Leave Group","Leave Group","Leave Group","Leave Group","Leave Group"
"STR_SMD_BTN_ACCEPT","Принять","Accept","Accept","Accept","Принять","Accept","Accept","Accept","Accept","Accept","Accept","Accept","Accept","Accept"
"STR_SMD_BTN_DECLINE","Отклонить","Decline","Decline","Decline","Отклонить","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline","Decline"
"STR_SMD_BTN_INVITE","Пригласить","Invite","Invite","Invite","Пригласить","Invite","Invite","Invite","Invite","Invite","Invite","Invite","Invite","Invite"
"STR_SMD_BTN_KICK","Выгнать","Kick","Kick","Kick","Выгнать","Kick","Kick","Kick","Kick","Kick","Kick","Kick","Kick","Kick"
"STR_SMD_BTN_CREATE_LISTING","Создать объявление","Create Listing","Create Listing","Create Listing","Создать объявление","Create Listing","Create Listing","Create Listing","Create Listing","Create Listing","Create Listing","Create Listing","Create Listing","Create Listing"
"STR_SMD_BTN_JOIN_LISTING","Присоединиться","Join","Join","Join","Присоединиться","Join","Join","Join","Join","Join","Join","Join","Join","Join"
"STR_SMD_BTN_CLOSE_LISTING","Снять объявление","Close Listing","Close Listing","Close Listing","Снять объявление","Close Listing","Close Listing","Close Listing","Close Listing","Close Listing","Close Listing","Close Listing","Close Listing","Close Listing"
"STR_SMD_BTN_REFRESH","Обновить","Refresh","Refresh","Refresh","Обновить","Refresh","Refresh","Refresh","Refresh","Refresh","Refresh","Refresh","Refresh","Refresh"
"STR_SMD_BTN_NEED","Мне это нужно","Need","Need","Need","Мне это нужно","Need","Need","Need","Need","Need","Need","Need","Need","Need"
"STR_SMD_BTN_GREED","Не откажусь","Greed","Greed","Greed","Не откажусь","Greed","Greed","Greed","Greed","Greed","Greed","Greed","Greed","Greed"
"STR_SMD_BTN_PASS","Откажусь","Pass","Pass","Pass","Откажусь","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass","Pass"
"STR_SMD_BTN_PARDON","Снять штраф","Pardon","Pardon","Pardon","Снять штраф","Pardon","Pardon","Pardon","Pardon","Pardon","Pardon","Pardon","Pardon","Pardon"
"STR_SMD_BTN_FORCE_CANCEL","Отменить (админ)","Force Cancel","Force Cancel","Force Cancel","Отменить (админ)","Force Cancel","Force Cancel","Force Cancel","Force Cancel","Force Cancel","Force Cancel","Force Cancel","Force Cancel","Force Cancel"
"STR_SMD_BTN_ENABLE","Включить","Enable","Enable","Enable","Включить","Enable","Enable","Enable","Enable","Enable","Enable","Enable","Enable","Enable"
"STR_SMD_BTN_DISABLE","Выключить","Disable","Disable","Disable","Выключить","Disable","Disable","Disable","Disable","Disable","Disable","Disable","Disable","Disable"
"STR_SMD_BTN_FORCE_EVAC","Форс. эвакуация","Force Evac","Force Evac","Force Evac","Форс. эвакуация","Force Evac","Force Evac","Force Evac","Force Evac","Force Evac","Force Evac","Force Evac","Force Evac","Force Evac"
"STR_SMD_BTN_RELOAD","Перезагрузить конфиг","Reload Config","Reload Config","Reload Config","Перезагрузить конфиг","Reload Config","Reload Config","Reload Config","Reload Config","Reload Config","Reload Config","Reload Config","Reload Config","Reload Config"
"STR_SMD_NOTIFY_INVITE_RECEIVED","Приглашение в данж от ","Dungeon invite from ","Dungeon invite from ","Dungeon invite from ","Приглашение в данж от ","Dungeon invite from ","Dungeon invite from ","Dungeon invite from ","Dungeon invite from ","Dungeon invite from ","Dungeon invite from ","Dungeon invite from ","Dungeon invite from ","Dungeon invite from "
"STR_SMD_NOTIFY_BOOKING_CREATED","Бронь создана","Booking created","Booking created","Booking created","Бронь создана","Booking created","Booking created","Booking created","Booking created","Booking created","Booking created","Booking created","Booking created","Booking created"
"STR_SMD_NOTIFY_BOOKING_CANCELLED","Бронь отменена","Booking cancelled","Booking cancelled","Booking cancelled","Бронь отменена","Booking cancelled","Booking cancelled","Booking cancelled","Booking cancelled","Booking cancelled","Booking cancelled","Booking cancelled","Booking cancelled","Booking cancelled"
"STR_SMD_NOTIFY_RUN_STARTING_SOON","Забег начнётся через 60 секунд","Run starts in 60 seconds","Run starts in 60 seconds","Run starts in 60 seconds","Забег начнётся через 60 секунд","Run starts in 60 seconds","Run starts in 60 seconds","Run starts in 60 seconds","Run starts in 60 seconds","Run starts in 60 seconds","Run starts in 60 seconds","Run starts in 60 seconds","Run starts in 60 seconds","Run starts in 60 seconds"
"STR_SMD_NOTIFY_TELEPORTING","Телепортация в данж...","Teleporting into the dungeon...","Teleporting into the dungeon...","Teleporting into the dungeon...","Телепортация в данж...","Teleporting into the dungeon...","Teleporting into the dungeon...","Teleporting into the dungeon...","Teleporting into the dungeon...","Teleporting into the dungeon...","Teleporting into the dungeon...","Teleporting into the dungeon...","Teleporting into the dungeon...","Teleporting into the dungeon..."
"STR_SMD_NOTIFY_RUN_STARTED","Забег начался!","The run has started!","The run has started!","The run has started!","Забег начался!","The run has started!","The run has started!","The run has started!","The run has started!","The run has started!","The run has started!","The run has started!","The run has started!","The run has started!"
"STR_SMD_NOTIFY_NO_SHOW_PENALTY","Вы не явились на бронь — наложен временный штраф","You missed your booking — a temporary penalty was applied","You missed your booking — a temporary penalty was applied","You missed your booking — a temporary penalty was applied","Вы не явились на бронь — наложен временный штраф","You missed your booking — a temporary penalty was applied","You missed your booking — a temporary penalty was applied","You missed your booking — a temporary penalty was applied","You missed your booking — a temporary penalty was applied","You missed your booking — a temporary penalty was applied","You missed your booking — a temporary penalty was applied","You missed your booking — a temporary penalty was applied","You missed your booking — a temporary penalty was applied","You missed your booking — a temporary penalty was applied"
"STR_SMD_NOTIFY_EARLY_LEAVE_PENALTY","Вы покинули забег раньше времени — наложен штраф","You left the run early — a penalty was applied","You left the run early — a penalty was applied","You left the run early — a penalty was applied","Вы покинули забег раньше времени — наложен штраф","You left the run early — a penalty was applied","You left the run early — a penalty was applied","You left the run early — a penalty was applied","You left the run early — a penalty was applied","You left the run early — a penalty was applied","You left the run early — a penalty was applied","You left the run early — a penalty was applied","You left the run early — a penalty was applied","You left the run early — a penalty was applied"
"STR_SMD_NOTIFY_EVAC_STARTED","Соберитесь у точки эвакуации и продержитесь 30 секунд","Gather at the evacuation point and hold for 30 seconds","Gather at the evacuation point and hold for 30 seconds","Gather at the evacuation point and hold for 30 seconds","Соберитесь у точки эвакуации и продержитесь 30 секунд","Gather at the evacuation point and hold for 30 seconds","Gather at the evacuation point and hold for 30 seconds","Gather at the evacuation point and hold for 30 seconds","Gather at the evacuation point and hold for 30 seconds","Gather at the evacuation point and hold for 30 seconds","Gather at the evacuation point and hold for 30 seconds","Gather at the evacuation point and hold for 30 seconds","Gather at the evacuation point and hold for 30 seconds","Gather at the evacuation point and hold for 30 seconds"
"STR_SMD_NOTIFY_EVAC_INTERRUPTED","Эвакуация прервана — не все участники на месте","Evacuation interrupted — not everyone is in position","Evacuation interrupted — not everyone is in position","Evacuation interrupted — not everyone is in position","Эвакуация прервана — не все участники на месте","Evacuation interrupted — not everyone is in position","Evacuation interrupted — not everyone is in position","Evacuation interrupted — not everyone is in position","Evacuation interrupted — not everyone is in position","Evacuation interrupted — not everyone is in position","Evacuation interrupted — not everyone is in position","Evacuation interrupted — not everyone is in position","Evacuation interrupted — not everyone is in position","Evacuation interrupted — not everyone is in position"
"STR_SMD_NOTIFY_RUN_COMPLETE","Данж пройден! Возвращаем вас обратно","Dungeon cleared! Returning you home","Dungeon cleared! Returning you home","Dungeon cleared! Returning you home","Данж пройден! Возвращаем вас обратно","Dungeon cleared! Returning you home","Dungeon cleared! Returning you home","Dungeon cleared! Returning you home","Dungeon cleared! Returning you home","Dungeon cleared! Returning you home","Dungeon cleared! Returning you home","Dungeon cleared! Returning you home","Dungeon cleared! Returning you home","Dungeon cleared! Returning you home"
